('74', '13', '24')
('74', '13', '77')
('74', '13', '44')
('74', '13', '27')
('74', '13', '59')
('74', '13', '50')
('74', '13', '17')
('74', '13', '17')
('74', '24', '77')
('74', '24', '44')
('74', '24', '27')
('74', '24', '59')
('74', '24', '50')
('74', '24', '17')
('74', '24', '17')
('74', '77', '44')
('74', '77', '27')
('74', '77', '59')
('74', '77', '50')
('74', '77', '17')
('74', '77', '17')
('74', '44', '27')
('74', '44', '59')
('74', '44', '50')
('74', '44', '17')
('74', '44', '17')
('74', '27', '59')
('74', '27', '50')
('74', '27', '17')
('74', '27', '17')
('74', '59', '50')
('74', '59', '17')
('74', '59', '17')
('74', '50', '17')
('74', '50', '17')
('74', '17', '17')
('13', '24', '77')
('13', '24', '44')
('13', '24', '27')
('13', '24', '59')
('13', '24', '50')
('13', '24', '17')
('13', '24', '17')
('13', '77', '44')
('13', '77', '27')
('13', '77', '59')
('13', '77', '50')
('13', '77', '17')
('13', '77', '17')
('13', '44', '27')
('13', '44', '59')
('13', '44', '50')
('13', '44', '17')
('13', '44', '17')
('13', '27', '59')
('13', '27', '50')
('13', '27', '17')
('13', '27', '17')
('13', '59', '50')
('13', '59', '17')
('13', '59', '17')
('13', '50', '17')
('13', '50', '17')
('13', '17', '17')
('24', '77', '44')
('24', '77', '27')
('24', '77', '59')
('24', '77', '50')
('24', '77', '17')
('24', '77', '17')
('24', '44', '27')
('24', '44', '59')
('24', '44', '50')
('24', '44', '17')
('24', '44', '17')
('24', '27', '59')
('24', '27', '50')
('24', '27', '17')
('24', '27', '17')
('24', '59', '50')
('24', '59', '17')
('24', '59', '17')
('24', '50', '17')
('24', '50', '17')
('24', '17', '17')
('77', '44', '27')
('77', '44', '59')
('77', '44', '50')
('77', '44', '17')
('77', '44', '17')
('77', '27', '59')
('77', '27', '50')
('77', '27', '17')
('77', '27', '17')
('77', '59', '50')
('77', '59', '17')
('77', '59', '17')
('77', '50', '17')
('77', '50', '17')
('77', '17', '17')
('44', '27', '59')
('44', '27', '50')
('44', '27', '17')
('44', '27', '17')
('44', '59', '50')
('44', '59', '17')
('44', '59', '17')
('44', '50', '17')
('44', '50', '17')
('44', '17', '17')
('27', '59', '50')
('27', '59', '17')
('27', '59', '17')
('27', '50', '17')
('27', '50', '17')
('27', '17', '17')
('59', '50', '17')
('59', '50', '17')
('59', '17', '17')
('50', '17', '17')
